,taxi_date,km_score,total_amount_x,taxi_trip_count_x,holiday_x,weekend_x,total_amount_y,taxi_trip_count_y,holiday_y,weekend_y
0,2015-01-01,1.26543884474,17.5257803081,1493,1,0,-1.75492179734,-1.48169095529,3.33707552497,-0.630377459427
1,2015-01-02,1.96006007504,18.0356987578,1932,1,1,-1.48157271538,-0.45574286995,3.33707552497,1.58200497029
2,2015-01-03,1.46425736055,17.2361115082,1399,0,1,-1.91020290273,-1.70137004418,-0.298842584326,1.58200497029
3,2015-01-04,1.42037963686,18.5656270447,917,0,0,-1.19749707379,-2.82780962763,-0.298842584326,-0.630377459427
4,2015-01-05,1.1533788552,18.5040711067,1997,0,0,-1.23049501526,-0.303837116995,-0.298842584326,-0.630377459427
5,2015-01-06,0.882632073181,19.7956794802,1847,0,0,-0.538109863454,-0.654388854583,-0.298842584326,-0.630377459427
6,2015-01-07,1.10944567861,19.994155194,2397,0,0,-0.431714116873,0.630967516572,-0.298842584326,-0.630377459427
7,2015-01-08,0.569150725982,21.1795257075,2509,0,0,0.203720709734,0.892712813971,-0.298842584326,-0.630377459427
8,2015-01-09,0.894527844023,20.0918429891,2382,0,1,-0.379347176384,0.595912342814,-0.298842584326,1.58200497029
9,2015-01-10,1.23043831683,16.732425187,1604,0,1,-2.18021116305,-1.22228266948,-0.298842584326,1.58200497029
10,2015-01-11,0.925282700862,18.6260973451,1130,0,0,-1.16508110391,-2.33002616025,-0.298842584326,-0.630377459427
11,2015-01-12,1.20776102516,19.9776135217,1982,0,0,-0.440581517022,-0.338892290754,-0.298842584326,-0.630377459427
12,2015-01-13,0.677231233706,20.9591570577,2515,0,0,0.0855889414937,0.906734883475,-0.298842584326,-0.630377459427
13,2015-01-14,0.31269485605,21.6820727273,2475,0,0,0.473118231246,0.813254420118,-0.298842584326,-0.630377459427
14,2015-01-15,0.903067552597,23.007530635,2693,0,0,1.18364891021,1.32272294541,-0.298842584326,-0.630377459427
15,2015-01-16,0.544673689116,20.9504031621,2530,0,1,0.0808962904882,0.941790057234,-0.298842584326,1.58200497029
16,2015-01-17,0.970628126942,17.1071880597,1675,0,1,-1.97931416223,-1.05635484702,-0.298842584326,1.58200497029
17,2015-01-18,2.08380030873,17.1149530075,1064,1,0,-1.97515165083,-2.48426892479,3.33707552497,-0.630377459427
18,2015-01-19,1.27747388862,18.7969960474,1265,1,0,-1.07346840895,-2.01452959642,3.33707552497,-0.630377459427
19,2015-01-20,1.45291082208,20.8741050757,2246,1,0,0.0399956094526,0.278078767401,3.33707552497,-0.630377459427
20,2015-01-21,0.533242049131,21.0664559629,2373,0,0,0.143108055126,0.574879238558,-0.298842584326,-0.630377459427
21,2015-01-22,0.522760960035,22.0627647285,2597,0,0,0.677193626293,1.09836983336,-0.298842584326,-0.630377459427
22,2015-01-23,0.544805522269,21.082688256,2563,0,1,0.151809608094,1.0189114395,-0.298842584326,1.58200497029
23,2015-01-24,1.526792122,16.9174005682,1408,0,1,-2.08105246295,-1.68033693992,-0.298842584326,1.58200497029
24,2015-01-25,0.792309534369,17.9522396241,1277,0,0,-1.52631217828,-1.98648545742,-0.298842584326,-0.630377459427
25,2015-01-26,1.50085694413,19.5907874016,889,0,0,-0.647945194264,-2.89324595198,-0.298842584326,-0.630377459427
26,2015-01-27,2.56210105365,17.2979471545,492,0,0,-1.87705501968,-3.82103955079,-0.298842584326,-0.630377459427
27,2015-01-28,0.949688750692,21.0540362923,2039,0,0,0.136450312965,-0.205682630471,-0.298842584326,-0.630377459427
28,2015-01-29,0.740419349576,23.4395622609,2353,0,0,1.41524564576,0.52813900688,-0.298842584326,-0.630377459427
29,2015-01-30,0.168579057816,21.8681440781,2457,0,1,0.572864441595,0.771188211608,-0.298842584326,1.58200497029
30,2015-01-31,0.819830549434,17.7253482738,1651,0,1,-1.64794053349,-1.11244312503,-0.298842584326,1.58200497029
31,2015-02-01,0.923654707101,18.053777403,1186,0,0,-1.47188139887,-2.19915351155,-0.298842584326,-0.630377459427
32,2015-02-02,0.411762829705,19.7269592875,1572,0,0,-0.574948306153,-1.29706704016,-0.298842584326,-0.630377459427
33,2015-02-03,0.358847929819,21.4999389499,2457,0,0,0.375482813539,0.771188211608,-0.298842584326,-0.630377459427
34,2015-02-04,0.266762874327,22.5309166321,2411,0,0,0.92815315354,0.663685678747,-0.298842584326,-0.630377459427
35,2015-02-05,0.565588581975,22.5397412128,2589,0,0,0.932883696316,1.07967374068,-0.298842584326,-0.630377459427
36,2015-02-06,0.196225372127,21.6333144246,2468,0,1,0.446980645377,0.796895339031,-0.298842584326,1.58200497029
37,2015-02-07,0.769529408189,18.2664407814,1638,0,1,-1.35788015163,-1.14282427562,-0.298842584326,1.58200497029
38,2015-02-08,1.03797838804,18.7922418605,1075,0,0,-1.07601695891,-2.45856179737,-0.298842584326,-0.630377459427
39,2015-02-09,1.24921566472,19.3509242054,2045,0,0,-0.77652729307,-0.191660560967,-0.298842584326,-0.630377459427
40,2015-02-10,0.438296589273,21.4142644695,2488,0,0,0.329555782258,0.843635570709,-0.298842584326,-0.630377459427
41,2015-02-11,0.76059350636,23.0396473745,2609,0,0,1.20086554802,1.12641397236,-0.298842584326,-0.630377459427
42,2015-02-12,0.811787703088,23.066942651,2633,0,0,1.21549757158,1.18250225038,-0.298842584326,-0.630377459427
43,2015-02-13,0.847431064754,23.3066681072,2314,0,1,1.34400583289,0.436995555107,-0.298842584326,1.58200497029
44,2015-02-14,0.35359201404,18.8913941019,1865,0,1,-1.02286498101,-0.612322646073,-0.298842584326,1.58200497029
45,2015-02-15,1.07293632718,17.8450129534,1544,1,0,-1.58379256957,-1.36250336451,3.33707552497,-0.630377459427
46,2015-02-16,0.666155520471,18.5297752809,1691,1,0,-1.21671592483,-1.01896266167,3.33707552497,-0.630377459427
47,2015-02-17,1.33786030375,21.1639358188,2119,1,0,0.195363526817,-0.0187217037572,3.33707552497,-0.630377459427
48,2015-02-18,0.232841228041,21.6798223874,2421,0,0,0.471911904378,0.687055794586,-0.298842584326,-0.630377459427
49,2015-02-19,0.689284551924,22.1146701649,2668,0,0,0.705018278243,1.26429765581,-0.298842584326,-0.630377459427
50,2015-02-20,0.577932539596,21.1754562957,2597,0,1,0.201539243343,1.09836983336,-0.298842584326,1.58200497029
51,2015-02-21,1.04311660468,18.9237304687,1536,0,1,-1.00553060881,-1.38119945718,-0.298842584326,1.58200497029
52,2015-02-22,0.534312287745,18.6206743295,1305,0,0,-1.16798818904,-1.92104913307,-0.298842584326,-0.630377459427
53,2015-02-23,0.957059491545,20.3046869565,2300,0,0,-0.265249121803,0.404277392932,-0.298842584326,-0.630377459427
54,2015-02-24,0.526255630716,22.2069414484,2596,0,0,0.754481620163,1.09603282177,-0.298842584326,-0.630377459427
55,2015-02-25,0.339272102693,21.7767638833,2503,0,0,0.523878780504,0.878690744468,-0.298842584326,-0.630377459427
56,2015-02-26,1.01816280177,23.2114485294,2720,0,0,1.29296201563,1.38582225818,-0.298842584326,-0.630377459427
57,2015-02-27,0.587742729537,22.4945574534,2576,0,1,0.908662295498,1.04929259009,-0.298842584326,1.58200497029
58,2015-02-28,0.269443914635,18.766391097,1887,0,1,-1.0898746306,-0.560908391226,-0.298842584326,1.58200497029
59,2015-03-01,0.967292226261,19.3970530099,1113,0,0,-0.751799287305,-2.36975535718,-0.298842584326,-0.630377459427
60,2015-03-02,0.895777817487,21.1916129032,2046,0,0,0.210200223997,-0.189323549383,-0.298842584326,-0.630377459427
61,2015-03-03,0.807698251373,22.7420484262,2065,0,0,1.04133337307,-0.144920329289,-0.298842584326,-0.630377459427
62,2015-03-04,0.292141867306,21.877450823,2491,0,0,0.577853455337,0.850646605461,-0.298842584326,-0.630377459427
63,2015-03-05,0.678537276007,20.1854916512,1617,0,0,-0.329145470925,-1.19190151888,-0.298842584326,-0.630377459427
64,2015-03-06,0.584188958592,22.6344642857,2240,0,1,0.983661355044,0.264056697897,-0.298842584326,1.58200497029
65,2015-03-07,0.222904589249,18.1420253834,1891,0,1,-1.42457480616,-0.551560344891,-0.298842584326,1.58200497029
