,taxi_date,km_score,total_amount_x,taxi_trip_count_x,holiday_x,weekend_x,total_amount_y,taxi_trip_count_y,holiday_y,weekend_y
0,2015-01-01,1.26765670327,13.0825236017,9851,1,0,-1.37399524426,-1.63477286549,3.33707552497,-0.630377459427
1,2015-01-02,1.88185914056,13.3197835851,14694,1,1,-1.18200010168,-0.281061506958,3.33707552497,1.58200497029
2,2015-01-03,1.23483214322,11.8035712236,13942,0,1,-2.40894703248,-0.491259925628,-0.298842584326,1.58200497029
3,2015-01-04,0.80367455342,13.4497000205,9734,0,0,-1.07686933258,-1.66747660883,-0.298842584326,-0.630377459427
4,2015-01-05,1.66595423396,13.2058400867,17522,0,0,-1.27420527636,0.509418716445,-0.298842584326,-0.630377459427
5,2015-01-06,1.88469413764,12.9255092205,19088,0,0,-1.50105416952,0.947145742559,-0.298842584326,-0.630377459427
6,2015-01-07,1.66096533069,13.2739901404,20082,0,0,-1.21905699943,1.22498780128,-0.298842584326,-0.630377459427
7,2015-01-08,1.47628118708,13.578454992,20563,0,0,-0.972678441498,1.35943652386,-0.298842584326,-0.630377459427
8,2015-01-09,1.37930310748,13.7036593326,17771,0,1,-0.87136078615,0.579018990712,-0.298842584326,1.58200497029
9,2015-01-10,1.08701392546,12.0020219123,14056,0,1,-2.24835708505,-0.459394739819,-0.298842584326,1.58200497029
10,2015-01-11,1.14725235561,12.98486981,11368,0,0,-1.45301848864,-1.2107422789,-0.298842584326,-0.630377459427
11,2015-01-12,1.62087353167,13.4662377835,21078,0,0,-1.06348667064,1.50338889835,-0.298842584326,-0.630377459427
12,2015-01-13,1.2510801692,14.1782715764,21644,0,0,-0.48729582887,1.6615967507,-0.298842584326,-0.630377459427
13,2015-01-14,1.26738080213,14.5870326449,22515,0,0,-0.156518853861,1.90505795105,-0.298842584326,-0.630377459427
14,2015-01-15,0.84191233293,14.6534798851,20880,0,0,-0.102748524957,1.44804410194,-0.298842584326,-0.630377459427
15,2015-01-16,1.1508204954,14.3956188705,17742,0,1,-0.311414400823,0.570912934673,-0.298842584326,1.58200497029
16,2015-01-17,1.19792331245,11.8702372044,14165,0,1,-2.35499969467,-0.428927149879,-0.298842584326,1.58200497029
17,2015-01-18,1.45709480041,12.2895408632,11979,1,0,-2.01569146167,-1.03995606373,3.33707552497,-0.630377459427
18,2015-01-19,1.08808314904,12.7480554443,12481,1,0,-1.64465302913,-0.899637438497,3.33707552497,-0.630377459427
19,2015-01-20,2.10901265391,13.5603104202,20585,1,0,-0.987361362707,1.36558594568,3.33707552497,-0.630377459427
20,2015-01-21,1.51811010699,13.8651750057,22085,0,0,-0.74065933275,1.78486470633,-0.298842584326,-0.630377459427
21,2015-01-22,1.04118773002,14.7965378466,21891,0,0,0.0130166088086,1.73063798662,-0.298842584326,-0.630377459427
22,2015-01-23,1.08220532271,14.6514912375,18602,0,1,-0.104357775136,0.81129942411,-0.298842584326,1.58200497029
23,2015-01-24,1.20206178211,11.809533404,13202,0,1,-2.40412232645,-0.698104114213,-0.298842584326,1.58200497029
24,2015-01-25,0.437896314952,13.901401,10000,0,0,-0.711344591818,-1.5931245086,-0.298842584326,-0.630377459427
25,2015-01-26,0.996511922533,13.4458387903,8399,0,0,-1.07999391109,-2.0406347058,-0.298842584326,-0.630377459427
26,2015-01-27,2.65412066423,11.377013156,6917,0,0,-2.75412566655,-2.45488212132,-0.298842584326,-0.630377459427
27,2015-01-28,0.9081349121,14.123692588,18659,0,0,-0.531462150153,0.827232017014,-0.298842584326,-0.630377459427
28,2015-01-29,0.472976437594,14.6680162463,18712,0,0,-0.0909854341029,0.842046533224,-0.298842584326,-0.630377459427
29,2015-01-30,1.08286527524,14.4218801773,17142,0,1,-0.29016326828,0.403201430415,-0.298842584326,1.58200497029
30,2015-01-31,1.02268983648,12.042943265,13519,0,1,-2.21524277379,-0.60949653613,-0.298842584326,1.58200497029
31,2015-02-01,1.07084941223,13.2533379215,8718,0,0,-1.23576915481,-1.95146808937,-0.298842584326,-0.630377459427
32,2015-02-02,1.41260010381,13.1594094626,14309,0,0,-1.31177779144,-0.388676388857,-0.298842584326,-0.630377459427
33,2015-02-03,0.593311379393,14.6236343161,19536,0,0,-0.126900108282,1.07237033241,-0.298842584326,-0.630377459427
34,2015-02-04,0.168334449815,15.0594380218,18684,0,0,0.225760266162,0.834219996359,-0.298842584326,-0.630377459427
35,2015-02-05,0.624334963131,15.9721081533,19121,0,0,0.964309723423,0.956369875293,-0.298842584326,-0.630377459427
36,2015-02-06,0.477352345206,15.1804280316,16938,0,1,0.323667607482,0.346179518967,-0.298842584326,1.58200497029
37,2015-02-07,0.769965779077,12.3415513788,12982,0,1,-1.97360359577,-0.759598332441,-0.298842584326,1.58200497029
38,2015-02-08,0.987770900548,13.197881519,9875,0,0,-1.28064549577,-1.62806440532,-0.298842584326,-0.630377459427
39,2015-02-09,1.97707996315,12.9002336975,20411,0,0,-1.52150758758,1.31694960945,-0.298842584326,-0.630377459427
40,2015-02-10,1.09268124183,14.1929390612,20857,0,0,-0.475426630382,1.44161516095,-0.298842584326,-0.630377459427
41,2015-02-11,0.590873758094,15.1657993073,20499,0,0,0.31182977466,1.34154729674,-0.298842584326,-0.630377459427
42,2015-02-12,0.920030166984,16.340982695,19243,0,0,1.26280978729,0.990471214492,-0.298842584326,-0.630377459427
43,2015-02-13,0.149546463057,15.8610235973,15934,0,1,0.874418057516,0.0655422685088,-0.298842584326,1.58200497029
44,2015-02-14,0.519170577234,13.1221066883,14772,0,1,-1.34196388248,-0.259259011404,-0.298842584326,1.58200497029
