,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
87,2015-03-29,0.733716932278,21.4841046381,98,0,0,21.4841046381,98,-0.298842584326,-0.630377459427
286,2015-10-14,0.72803011649,15.4677440601,1096,0,0,15.4677440601,1096,-0.298842584326,-0.630377459427
127,2015-05-08,0.724333616056,12.9352091911,712,0,1,12.9352091911,712,-0.298842584326,1.58200497029
35,2015-02-05,0.722831487465,10.3118630196,256,0,0,10.3118630196,256,-0.298842584326,-0.630377459427
292,2015-10-20,0.721351367096,16.4243302172,1277,0,0,16.4243302172,1277,-0.298842584326,-0.630377459427
251,2015-09-09,0.718666850513,12.3343210641,859,0,0,12.3343210641,859,-0.298842584326,-0.630377459427
268,2015-09-26,0.717233132313,21.9794870409,414,0,1,21.9794870409,414,-0.298842584326,1.58200497029
3,2015-01-04,0.7083172516,11.7777777778,77,0,0,11.7777777778,77,-0.298842584326,-0.630377459427
194,2015-07-14,0.694319144777,11.8587488122,676,0,0,11.8587488122,676,-0.298842584326,-0.630377459427
31,2015-02-01,0.688105118183,10.3790685505,61,0,0,10.3790685505,61,-0.298842584326,-0.630377459427
226,2015-08-15,0.685146109754,26.520118729,757,0,1,26.520118729,757,-0.298842584326,1.58200497029
233,2015-08-22,0.676213676437,18.2120079214,266,0,1,18.2120079214,266,-0.298842584326,1.58200497029
117,2015-04-28,0.670600646797,12.2769998297,647,0,0,12.2769998297,647,-0.298842584326,-0.630377459427
356,2015-12-23,0.661607026945,12.2636628348,285,0,0,12.2636628348,285,-0.298842584326,-0.630377459427
205,2015-07-25,0.660960569434,24.7153815557,290,0,1,24.7153815557,290,-0.298842584326,1.58200497029
207,2015-07-27,0.65830616141,14.5764268647,624,0,0,14.5764268647,624,-0.298842584326,-0.630377459427
364,2015-12-31,0.657211391938,14.3812865255,426,1,0,14.3812865255,426,3.33707552497,-0.630377459427
71,2015-03-13,0.655909204013,10.9457969941,396,0,1,10.9457969941,396,-0.298842584326,1.58200497029
