,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
250,2015-09-08,1.4961500892,17.884448125,568,1,0,17.884448125,568,3.33707552497,-0.630377459427
8,2015-01-09,1.47441495526,13.1556602128,93,0,1,13.1556602128,93,-0.298842584326,1.58200497029
239,2015-08-28,1.46926307345,19.0624107212,619,0,1,19.0624107212,619,-0.298842584326,1.58200497029
36,2015-02-06,1.44819175779,13.4087713873,95,0,1,13.4087713873,95,-0.298842584326,1.58200497029
18,2015-01-19,1.44171858231,16.7760905761,74,1,0,16.7760905761,74,3.33707552497,-0.630377459427
197,2015-07-17,1.39407728185,22.7041805407,607,0,1,22.7041805407,607,-0.298842584326,1.58200497029
232,2015-08-21,1.36136592258,21.3649471197,602,0,1,21.3649471197,602,-0.298842584326,1.58200497029
288,2015-10-16,1.35116471942,19.1932299955,595,0,1,19.1932299955,595,-0.298842584326,1.58200497029
283,2015-10-11,1.34494782133,30.2194219964,511,1,0,30.2194219964,511,3.33707552497,-0.630377459427
269,2015-09-27,1.33745751586,32.7093620046,400,0,0,32.7093620046,400,-0.298842584326,-0.630377459427
121,2015-05-02,1.33595876293,32.9606564161,330,0,1,32.9606564161,330,-0.298842584326,1.58200497029
169,2015-06-19,1.32707210176,19.6901808012,592,0,1,19.6901808012,592,-0.298842584326,1.58200497029
309,2015-11-06,1.32375344231,17.7123697818,580,0,1,17.7123697818,580,-0.298842584326,1.58200497029
225,2015-08-14,1.31997077422,18.7083621294,586,0,1,18.7083621294,586,-0.298842584326,1.58200497029
148,2015-05-29,1.3125551947,21.2644847683,592,0,1,21.2644847683,592,-0.298842584326,1.58200497029
204,2015-07-24,1.30433890713,20.8238310149,590,0,1,20.8238310149,590,-0.298842584326,1.58200497029
19,2015-01-20,1.30431199685,13.4677812391,219,1,0,13.4677812391,219,3.33707552497,-0.630377459427
282,2015-10-10,1.30110980666,29.7903917551,501,0,1,29.7903917551,501,-0.298842584326,1.58200497029
108,2015-04-19,1.2910229595,27.0526537452,237,0,0,27.0526537452,237,-0.298842584326,-0.630377459427
149,2015-05-30,1.28893867376,31.6426866121,428,0,1,31.6426866121,428,-0.298842584326,1.58200497029
15,2015-01-16,1.28167524946,12.815611637,157,0,1,12.815611637,157,-0.298842584326,1.58200497029
218,2015-08-07,1.26905535358,20.3710902612,582,0,1,20.3710902612,582,-0.298842584326,1.58200497029
92,2015-04-03,1.2533001829,28.9271469271,139,0,1,28.9271469271,139,-0.298842584326,1.58200497029
57,2015-02-27,1.25071069838,14.2561203165,131,0,1,14.2561203165,131,-0.298842584326,1.58200497029
352,2015-12-19,1.25000838776,19.9891452233,70,0,1,19.9891452233,70,-0.298842584326,1.58200497029
263,2015-09-21,1.23890613654,29.2722377389,714,0,0,29.2722377389,714,-0.298842584326,-0.630377459427
29,2015-01-30,1.23344393757,15.438954934,114,0,1,15.438954934,114,-0.298842584326,1.58200497029
211,2015-07-31,1.22389452485,22.6879747777,572,0,1,22.6879747777,572,-0.298842584326,1.58200497029
129,2015-05-10,1.20431904807,27.3348830567,305,0,0,27.3348830567,305,-0.298842584326,-0.630377459427
248,2015-09-06,1.20284941063,27.5190186154,514,1,0,27.5190186154,514,3.33707552497,-0.630377459427
115,2015-04-26,1.19932695794,26.1740526678,240,0,0,26.1740526678,240,-0.298842584326,-0.630377459427
22,2015-01-23,1.19438272903,13.2414012699,173,0,1,13.2414012699,173,-0.298842584326,1.58200497029
275,2015-10-03,1.18992649983,20.1184041297,82,0,1,20.1184041297,82,-0.298842584326,1.58200497029
302,2015-10-30,1.18814986882,22.5585838126,565,0,1,22.5585838126,565,-0.298842584326,1.58200497029
