,taxi_date,total_amount,geometry
51741111,2015-05-31,11.0,POINT (-73.97455596923827 40.75695419311523)
51741473,2015-05-31,7.3,POINT (-73.97444915771484 40.75629043579102)
51741484,2015-05-31,9.3,POINT (-73.97489166259766 40.75385665893555)
51741500,2015-05-31,10.8,POINT (-73.97259521484375 40.75593566894531)
51741501,2015-05-31,22.8,POINT (-73.97322845458984 40.75704956054688)
51742083,2015-05-31,17.8,POINT (-73.97888946533203 40.76211929321289)
51742756,2015-05-31,18.36,POINT (-73.97859954833984 40.75473022460938)
51743329,2015-05-31,10.3,POINT (-73.97260284423827 40.75835037231445)
51744548,2015-05-31,19.8,POINT (-73.97454833984375 40.7569465637207)
51744551,2015-05-31,29.15,POINT (-73.97282409667969 40.75544738769531)
51744559,2015-05-31,23.3,POINT (-73.97141265869139 40.75881576538085)
51744763,2015-05-31,10.3,POINT (-73.97305297851562 40.75627899169922)
51744766,2015-05-31,15.96,POINT (-73.97438049316406 40.75640106201172)
51745618,2015-05-31,11.3,POINT (-73.97480010986328 40.75719833374024)
51745969,2015-05-31,11.3,POINT (-73.97850036621094 40.7573471069336)
51746449,2015-05-31,9.8,POINT (-73.97942352294923 40.75769805908203)
51746509,2015-05-31,5.3,POINT (-73.97750091552734 40.75502014160156)
51747083,2015-05-31,6.94,POINT (-73.97769927978516 40.75792694091797)
51778926,2015-05-31,53.75,POINT (-73.97821807861328 40.76236343383789)
51780954,2015-05-31,34.8,POINT (-73.97298431396483 40.75632095336913)
51780956,2015-05-31,5.3,POINT (-73.97437286376955 40.76309204101562)
51782342,2015-05-31,14.3,POINT (-73.97735595703125 40.75831604003906)
51782345,2015-05-31,15.8,POINT (-73.97901153564453 40.76205825805664)
51782361,2015-05-31,26.3,POINT (-73.97879028320312 40.75680160522461)
51783199,2015-05-31,17.16,POINT (-73.97561645507811 40.75701522827149)
51783283,2015-05-31,14.3,POINT (-73.97614288330078 40.76050567626953)
51784059,2015-05-31,9.3,POINT (-73.97356414794923 40.75484466552734)
