,taxi_date,total_amount,geometry
131647,2015-01-27,7.3,POINT (-73.97872161865234 40.75626373291016)
131686,2015-01-27,9.75,POINT (-73.97461700439453 40.75782012939453)
131687,2015-01-27,10.3,POINT (-73.97602844238281 40.75708389282227)
131703,2015-01-27,16.56,POINT (-73.97727966308595 40.75867462158203)
131707,2015-01-27,13.8,POINT (-73.97726440429686 40.75445556640625)
132988,2015-01-27,7.89,POINT (-73.97647857666014 40.7605094909668)
132993,2015-01-27,9.75,POINT (-73.97829437255859 40.76250457763672)
134129,2015-01-27,7.3,POINT (-73.97371673583984 40.76084136962891)
134135,2015-01-27,11.16,POINT (-73.98081970214844 40.75938034057617)
134137,2015-01-27,9.9,POINT (-73.97559356689453 40.76279830932617)
134422,2015-01-27,7.55,POINT (-73.9773712158203 40.7630615234375)
134817,2015-01-27,13.56,POINT (-73.97522735595702 40.75989532470703)
134818,2015-01-27,8.3,POINT (-73.97222137451173 40.75752258300781)
135702,2015-01-27,9.8,POINT (-73.97579956054686 40.76089096069336)
137769,2015-01-27,8.76,POINT (-73.97831726074219 40.75749206542969)
137775,2015-01-27,8.16,POINT (-73.97651672363281 40.75962066650391)
139442,2015-01-27,5.8,POINT (-73.97321319580078 40.75589370727539)
139445,2015-01-27,9.8,POINT (-73.97286224365234 40.75898742675781)
139459,2015-01-27,6.3,POINT (-73.97531890869139 40.76240539550781)
149131,2015-01-27,11.8,POINT (-73.97373199462891 40.75774002075195)
149924,2015-01-27,13.56,POINT (-73.97618103027344 40.75997924804688)
158446,2015-01-27,7.8,POINT (-73.97635650634766 40.76013946533203)
159199,2015-01-27,36.3,POINT (-73.97473907470702 40.75657272338867)
164397,2015-01-27,10.38,POINT (-73.97422027587891 40.75960159301758)
166401,2015-01-27,4.8,POINT (-73.97662353515625 40.75604248046875)
166521,2015-01-27,5.3,POINT (-73.97737884521484 40.75548934936523)
169998,2015-01-27,5.3,POINT (-73.9757080078125 40.76082229614258)
173759,2015-01-27,13.3,POINT (-73.97772979736328 40.75431060791016)
175109,2015-01-27,8.7,POINT (-73.97258758544923 40.75563430786133)
175170,2015-01-27,6.3,POINT (-73.977294921875 40.75860214233398)
176828,2015-01-27,6.8,POINT (-73.9763946533203 40.75607299804688)
178077,2015-01-27,11.3,POINT (-73.97884368896483 40.76264953613281)
178293,2015-01-27,13.8,POINT (-73.97383117675781 40.76042175292969)
178331,2015-01-27,6.8,POINT (-73.97176361083984 40.7574577331543)
178337,2015-01-27,7.3,POINT (-73.97341156005859 40.75517654418945)
179551,2015-01-27,11.75,POINT (-73.97254943847656 40.75667572021485)
179688,2015-01-27,41.8,POINT (-73.9730224609375 40.76094436645508)
181916,2015-01-27,32.3,POINT (-73.97845458984375 40.75569534301758)
183362,2015-01-27,10.56,POINT (-73.9807891845703 40.76028823852539)
183374,2015-01-27,8.3,POINT (-73.97605133056641 40.75994873046875)
188054,2015-01-27,18.3,POINT (-73.97203826904298 40.75719833374024)
188070,2015-01-27,9.8,POINT (-73.9742431640625 40.76051712036133)
188228,2015-01-27,8.8,POINT (-73.97402954101562 40.75435256958008)
188229,2015-01-27,14.75,POINT (-73.97499084472656 40.75614929199219)
188230,2015-01-27,11.3,POINT (-73.97404479980467 40.76033401489258)
198390,2015-01-27,6.96,POINT (-73.97527313232422 40.75556182861328)
200264,2015-01-27,8.3,POINT (-73.97744750976562 40.75849533081055)
200268,2015-01-27,5.8,POINT (-73.97755432128906 40.75828170776367)
203485,2015-01-27,14.8,POINT (-73.97145080566406 40.75802612304688)
203488,2015-01-27,8.0,POINT (-73.97730255126955 40.75947570800781)
204982,2015-01-27,20.38,POINT (-73.97298431396483 40.75621795654297)
209215,2015-01-27,7.25,POINT (-73.97911834716798 40.76231002807617)
212240,2015-01-27,11.16,POINT (-73.9752197265625 40.7611083984375)
212243,2015-01-27,12.3,POINT (-73.98084259033203 40.75919342041016)
212246,2015-01-27,10.8,POINT (-73.97770690917969 40.75384140014648)
213745,2015-01-27,13.4,POINT (-73.9776611328125 40.75688171386719)
217760,2015-01-27,8.3,POINT (-73.97911834716798 40.7573471069336)
217761,2015-01-27,69.76,POINT (-73.97899627685547 40.76165771484375)
217776,2015-01-27,6.3,POINT (-73.97467803955078 40.75934982299805)
223371,2015-01-27,8.76,POINT (-73.97624969482422 40.75499725341797)
223372,2015-01-27,9.3,POINT (-73.97776794433594 40.75437927246094)
223374,2015-01-27,16.62,POINT (-73.97235870361328 40.75875091552734)
224183,2015-01-27,7.8,POINT (-73.97255706787109 40.76065826416016)
224781,2015-01-27,6.3,POINT (-73.98004913330078 40.7601318359375)
225125,2015-01-27,22.55,POINT (-73.973876953125 40.76070785522461)
225585,2015-01-27,17.8,POINT (-73.97228240966798 40.75841522216797)
225598,2015-01-27,8.15,POINT (-73.97306823730467 40.75854110717773)
225599,2015-01-27,8.8,POINT (-73.97205352783203 40.76040649414063)
225603,2015-01-27,11.75,POINT (-73.97456359863281 40.759765625)
225647,2015-01-27,12.3,POINT (-73.97911071777342 40.76190185546875)
225876,2015-01-27,14.69,POINT (-73.9749755859375 40.75850677490234)
225878,2015-01-27,9.36,POINT (-73.97342681884766 40.75479125976562)
225880,2015-01-27,19.8,POINT (-73.97334289550781 40.76068878173828)
225916,2015-01-27,17.25,POINT (-73.97478485107422 40.76172256469727)
227189,2015-01-27,9.8,POINT (-73.97416687011719 40.76128387451172)
227198,2015-01-27,10.14,POINT (-73.978515625 40.75681304931641)
227201,2015-01-27,9.8,POINT (-73.97403717041014 40.75448989868164)
227311,2015-01-27,9.0,POINT (-73.97709655761719 40.75864028930664)
229289,2015-01-27,37.85,POINT (-73.97254943847656 40.75905990600585)
229293,2015-01-27,7.8,POINT (-73.97464752197266 40.76276016235352)
232244,2015-01-27,9.8,POINT (-73.98012542724609 40.75896835327149)
232247,2015-01-27,6.8,POINT (-73.97573089599609 40.75935745239258)
232485,2015-01-27,23.5,POINT (-73.9735107421875 40.75890350341797)
232489,2015-01-27,8.8,POINT (-73.97882843017578 40.75848770141602)
235914,2015-01-27,4.3,POINT (-73.97478485107422 40.75859832763672)
235916,2015-01-27,5.8,POINT (-73.98046875 40.75695037841797)
246120,2015-01-27,12.36,POINT (-73.97962951660156 40.7607307434082)
246123,2015-01-27,11.8,POINT (-73.97372436523438 40.76277160644531)
246124,2015-01-27,8.3,POINT (-73.97872924804686 40.75419998168945)
247728,2015-01-27,5.8,POINT (-73.97516632080078 40.75812149047852)
247731,2015-01-27,15.36,POINT (-73.97760772705078 40.75765228271485)
249129,2015-01-27,9.3,POINT (-73.97618103027344 40.75654602050781)
252172,2015-01-27,11.3,POINT (-73.97885894775391 40.76205825805664)
254588,2015-01-27,6.3,POINT (-73.97217559814453 40.76002883911133)
255668,2015-01-27,5.8,POINT (-73.97695159912109 40.75606918334961)
258642,2015-01-27,8.16,POINT (-73.97931671142578 40.75484085083008)
269466,2015-01-27,6.8,POINT (-73.97490692138672 40.76168823242188)
272091,2015-01-27,44.63,POINT (-73.9730224609375 40.75510787963867)
272092,2015-01-27,4.8,POINT (-73.97179412841797 40.75683975219727)
272095,2015-01-27,5.75,POINT (-73.97483825683594 40.76155471801758)
272097,2015-01-27,5.8,POINT (-73.97657012939453 40.75885009765625)
272562,2015-01-27,10.3,POINT (-73.98065185546875 40.759521484375)
272572,2015-01-27,6.3,POINT (-73.97647857666014 40.75588607788085)
272573,2015-01-27,7.3,POINT (-73.97531890869139 40.76124572753906)
