,taxi_date,total_amount,geometry
12752449,2015-02-21,11.76,POINT (-73.97353363037109 40.75576019287109)
12752986,2015-02-21,4.8,POINT (-73.97431945800781 40.75656127929688)
12756557,2015-02-21,12.3,POINT (-73.97720336914062 40.75871276855469)
12756619,2015-02-21,7.3,POINT (-73.97858428955078 40.75668716430664)
12756626,2015-02-21,15.87,POINT (-73.97648620605469 40.75653839111328)
12757891,2015-02-21,15.8,POINT (-73.97525787353516 40.75513076782227)
12759761,2015-02-21,6.8,POINT (-73.98096466064453 40.75957489013672)
12759769,2015-02-21,75.46,POINT (-73.9783477783203 40.7567138671875)
12765373,2015-02-21,44.56,POINT (-73.97500610351562 40.75992584228516)
12765422,2015-02-21,9.8,POINT (-73.97186279296875 40.75632858276367)
12765675,2015-02-21,63.36,POINT (-73.97519683837891 40.75910568237305)
12772657,2015-02-21,11.76,POINT (-73.97245025634766 40.75873565673828)
12777458,2015-02-21,6.8,POINT (-73.97689056396483 40.76262664794922)
12785287,2015-02-21,5.76,POINT (-73.98091888427734 40.7591209411621)
12785289,2015-02-21,8.16,POINT (-73.97362518310547 40.76034164428711)
12785576,2015-02-21,23.16,POINT (-73.97652435302734 40.76073455810547)
12785930,2015-02-21,9.3,POINT (-73.98075866699219 40.75954437255859)
12785943,2015-02-21,10.37,POINT (-73.97746276855469 40.7592658996582)
12786809,2015-02-21,8.8,POINT (-73.9781951904297 40.76212310791016)
12787262,2015-02-21,8.75,POINT (-73.97673797607422 40.75974273681641)
12787878,2015-02-21,8.15,POINT (-73.97747039794923 40.75381088256836)
12789058,2015-02-21,8.8,POINT (-73.97496032714845 40.75904846191406)
12789061,2015-02-21,10.8,POINT (-73.97685241699219 40.75432968139648)
12789066,2015-02-21,12.95,POINT (-73.97401428222656 40.75746917724609)
12789186,2015-02-21,6.8,POINT (-73.97300720214845 40.75564193725585)
12789311,2015-02-21,7.8,POINT (-73.97398376464845 40.76053237915039)
12789392,2015-02-21,11.15,POINT (-73.97487640380859 40.76253128051758)
12789400,2015-02-21,8.8,POINT (-73.97640991210938 40.75746536254883)
12789409,2015-02-21,13.55,POINT (-73.97599792480467 40.75555419921875)
12789563,2015-02-21,13.8,POINT (-73.97698974609375 40.7586326599121)
12790428,2015-02-21,16.55,POINT (-73.97758483886719 40.75777435302734)
12790442,2015-02-21,19.8,POINT (-73.97640991210938 40.75997161865234)
12790931,2015-02-21,14.8,POINT (-73.97609710693358 40.76014709472656)
12790935,2015-02-21,23.79,POINT (-73.97361755371094 40.76016998291016)
12792129,2015-02-21,8.7,POINT (-73.97305297851562 40.75558471679688)
12792821,2015-02-21,6.96,POINT (-73.97159576416014 40.75766372680664)
12792826,2015-02-21,7.3,POINT (-73.97299194335938 40.75558853149415)
12793495,2015-02-21,12.95,POINT (-73.97206115722656 40.7569465637207)
12793496,2015-02-21,13.3,POINT (-73.97826385498048 40.75747680664063)
12796732,2015-02-21,52.8,POINT (-73.97670745849609 40.75491714477539)
12796746,2015-02-21,6.8,POINT (-73.9778594970703 40.75457382202149)
12797255,2015-02-21,6.62,POINT (-73.98097991943358 40.75997161865234)
12798052,2015-02-21,4.3,POINT (-73.97174072265625 40.7576560974121)
12798056,2015-02-21,6.3,POINT (-73.9786376953125 40.76253128051758)
12798117,2015-02-21,8.3,POINT (-73.97919464111328 40.76227569580078)
12798128,2015-02-21,5.3,POINT (-73.97238159179686 40.75846099853516)
12798915,2015-02-21,6.3,POINT (-73.97890472412109 40.76252365112305)
12798919,2015-02-21,15.96,POINT (-73.9742431640625 40.75405883789063)
12804679,2015-02-21,16.8,POINT (-73.97347259521484 40.7567253112793)
12804681,2015-02-21,17.76,POINT (-73.97447967529298 40.76170349121094)
12805458,2015-02-21,6.8,POINT (-73.9744415283203 40.76248931884766)
12805460,2015-02-21,10.3,POINT (-73.97677612304686 40.75445175170898)
12807757,2015-02-21,25.8,POINT (-73.97538757324219 40.75820922851562)
12809373,2015-02-21,25.56,POINT (-73.97505950927734 40.76039886474609)
12809379,2015-02-21,12.8,POINT (-73.97940063476562 40.76184844970703)
12809705,2015-02-21,9.8,POINT (-73.97620391845702 40.76308822631836)
12815454,2015-02-21,8.5,POINT (-73.97300720214845 40.75630569458008)
12815466,2015-02-21,8.16,POINT (-73.97235107421875 40.75674057006836)
12815621,2015-02-21,7.8,POINT (-73.97832489013672 40.76225280761719)
12817891,2015-02-21,13.39,POINT (-73.97551727294923 40.76100921630859)
12817895,2015-02-21,22.3,POINT (-73.97745513916014 40.75436019897461)
12817908,2015-02-21,10.38,POINT (-73.97744750976562 40.75822830200195)
12824889,2015-02-21,19.8,POINT (-73.975341796875 40.757568359375)
12825039,2015-02-21,16.62,POINT (-73.97721099853516 40.75522232055664)
12825052,2015-02-21,9.8,POINT (-73.97747039794923 40.75373840332031)
12829150,2015-02-21,8.76,POINT (-73.97663116455078 40.75959777832031)
12837249,2015-02-21,17.8,POINT (-73.97479248046875 40.75558853149415)
12838174,2015-02-21,45.76,POINT (-73.979248046875 40.76161193847656)
12838567,2015-02-21,8.8,POINT (-73.97962951660156 40.75535583496094)
12839538,2015-02-21,8.3,POINT (-73.97486877441406 40.75756072998047)
12840297,2015-02-21,11.8,POINT (-73.97869873046875 40.75432586669922)
12840524,2015-02-21,4.8,POINT (-73.97303771972656 40.75523376464844)
12840844,2015-02-21,17.3,POINT (-73.97893524169923 40.76172256469727)
12840914,2015-02-21,21.3,POINT (-73.97319793701173 40.75517272949219)
12840969,2015-02-21,11.8,POINT (-73.97862243652342 40.76161575317383)
12843710,2015-02-21,11.75,POINT (-73.97183227539062 40.76047134399415)
12843819,2015-02-21,9.8,POINT (-73.97505950927734 40.75807189941406)
12843910,2015-02-21,8.8,POINT (-73.97823333740234 40.76227569580078)
12844973,2015-02-21,9.3,POINT (-73.97262573242188 40.75738525390625)
12845116,2015-02-21,18.96,POINT (-73.97582244873048 40.75661087036133)
12845119,2015-02-21,15.8,POINT (-73.97418975830078 40.76263427734375)
12845463,2015-02-21,11.9,POINT (-73.97682189941406 40.75362777709961)
12846052,2015-02-21,14.3,POINT (-73.9803466796875 40.7591552734375)
12847439,2015-02-21,6.3,POINT (-73.97757720947266 40.75730514526367)
12849565,2015-02-21,20.8,POINT (-73.97429656982422 40.76222229003906)
12850092,2015-02-21,12.3,POINT (-73.97311401367188 40.75827789306641)
12850093,2015-02-21,16.56,POINT (-73.97738647460938 40.7586326599121)
12856475,2015-02-21,8.3,POINT (-73.97714233398438 40.75878143310547)
12856486,2015-02-21,9.8,POINT (-73.97557830810547 40.76024627685547)
12856488,2015-02-21,8.3,POINT (-73.97818756103516 40.75691986083984)
12862187,2015-02-21,3.8,POINT (-73.97971343994141 40.75516128540039)
12875353,2015-02-21,9.3,POINT (-73.97457122802734 40.76240158081055)
12876153,2015-02-21,7.8,POINT (-73.97344970703125 40.76043319702149)
12876157,2015-02-21,7.8,POINT (-73.97246551513672 40.75595092773438)
12877338,2015-02-21,19.8,POINT (-73.98070526123048 40.75893020629883)
12890844,2015-02-21,11.15,POINT (-73.97724151611328 40.76278686523438)
12890854,2015-02-21,26.75,POINT (-73.97921752929686 40.75801849365234)
12890858,2015-02-21,6.8,POINT (-73.97914886474609 40.7560920715332)
12891443,2015-02-21,12.96,POINT (-73.97376251220702 40.75790786743164)
12892109,2015-02-21,12.3,POINT (-73.97489929199219 40.75613403320313)
12892111,2015-02-21,10.8,POINT (-73.97341156005859 40.76153945922852)
12892135,2015-02-21,5.8,POINT (-73.97724914550781 40.75828170776367)
12892714,2015-02-21,10.3,POINT (-73.97850799560547 40.76187515258789)
12893860,2015-02-21,7.3,POINT (-73.979736328125 40.76023101806641)
12893994,2015-02-21,9.3,POINT (-73.9739532470703 40.75651168823241)
12894054,2015-02-21,17.16,POINT (-73.97859954833984 40.76267623901367)
12894064,2015-02-21,14.76,POINT (-73.97984313964845 40.75522994995117)
12894491,2015-02-21,6.8,POINT (-73.97296142578125 40.75503921508789)
12894516,2015-02-21,10.3,POINT (-73.97904968261719 40.76100540161133)
12894628,2015-02-21,63.35,POINT (-73.97893524169923 40.7621955871582)
12894813,2015-02-21,17.16,POINT (-73.97294616699219 40.75574493408203)
12894890,2015-02-21,8.3,POINT (-73.97762298583984 40.75478363037109)
12894893,2015-02-21,8.15,POINT (-73.98094940185547 40.75947189331055)
12894896,2015-02-21,20.3,POINT (-73.9739990234375 40.7627067565918)
