,taxi_date,km_score,total_amount_x,taxi_trip_count_x,total_amount_y,taxi_trip_count_y,decision_function
26,2015-01-27,5.94601573005,11.9323001039,134820,-5.01887958684,-5.11438937297,0.0576916091207
358,2015-12-25,2.80439340403,15.5207422219,187033,-0.588824602257,-4.09811887015,-0.0192953709223
270,2015-09-28,2.45439505492,18.1021688437,320770,2.59803518162,-1.49507042943,-0.0714768818419
25,2015-01-26,2.33615925226,14.6403959607,228457,-1.67564228371,-3.29184477541,-0.00300410298479
9,2015-01-10,2.03405530386,13.8840814589,512258,-2.60933850018,2.232039793,0.0206121824448
30,2015-01-31,2.02524047245,13.9558856901,516806,-2.52069371172,2.32056177501,0.00641997904366
330,2015-11-27,1.99706771872,14.2847287113,273491,-2.11472571298,-2.41530587084,-0.0350807254155
23,2015-01-24,1.88821657021,13.6416322419,457763,-2.90865038168,1.17135258769,-0.0145010667715
359,2015-12-26,1.87463967693,15.2841227304,237105,-0.880939487622,-3.12352065482,0.0378822203599
184,2015-07-04,1.8686167446,14.7493833244,252645,-1.54109364174,-2.82105108567,-0.140593584338
329,2015-11-26,1.81556651589,15.253118984,240713,-0.919214676932,-3.05329477287,0.020547354791
249,2015-09-07,1.64849967245,16.7166394877,282204,0.887551626997,-2.2457165944,0.0450967976136
16,2015-01-17,1.63918601373,13.9055476606,473724,-2.58283773724,1.48201647399,0.0366576169795
360,2015-12-27,1.62602643756,16.4702152842,266903,0.583332488083,-2.54353428278,0.0534886224494
43,2015-02-13,1.61929048971,16.7341102292,482703,0.909119857144,1.65678315747,0.053749717135
2,2015-01-03,1.58412270798,14.0588959176,404372,-2.39352404964,0.132153567979,0.0149238836417
133,2015-05-14,1.55215789827,17.6747455741,436984,2.07036648212,0.766911456587,-0.0836655332742
39,2015-02-09,1.51625567341,14.5424973205,378814,-1.79650151582,-0.365305714403,-0.0624286786714
357,2015-12-24,1.41552564221,14.626708609,295167,-1.6925397893,-1.99340558894,-0.0100571953701
37,2015-02-07,1.39917088171,14.1831669522,482587,-2.24010719118,1.65452534087,0.0565158783591
185,2015-07-05,1.39059137731,16.2955386999,273566,0.367688248284,-2.41384607563,0.039087263421
113,2015-04-24,1.37332273929,16.5161725588,470761,0.640068321355,1.42434483091,0.0449275818584
5,2015-01-06,1.36864723733,14.7156857613,381729,-1.58269444019,-0.308568340268,0.0262812382771
86,2015-03-28,1.36398947495,14.6149301123,507100,-1.70708074775,2.13164480988,-0.0960416539635
17,2015-01-18,1.35396314432,14.1189075786,424296,-2.31943759389,0.519953033594,0.0410980050639
106,2015-04-17,1.32320367614,16.2887300796,466045,0.35928277279,1.33255290761,-0.158146794967
134,2015-05-15,1.32294248937,17.2096864487,454248,1.49623502651,1.10293685181,-0.199675750009
343,2015-12-10,1.30119763487,17.6117493978,403173,1.99259553984,0.108816308429,0.0481730080644
72,2015-03-14,1.27389517052,14.4435114953,493240,-1.91870291515,1.86187465362,0.069672057194
101,2015-04-12,1.2690956789,17.5846904775,404381,1.95919037373,0.132328743405,0.00153691491287
305,2015-11-02,1.24911852943,17.0972728113,345924,1.35745653199,-1.00547457729,-0.136351788738
93,2015-04-04,1.2426755174,14.16301005,437408,-2.26499157888,0.775164165552,-0.00625320436399
135,2015-05-16,1.23740491669,16.0426529536,476288,0.0554921129605,1.5319220065,-0.0247491121091
58,2015-02-28,1.2361989017,14.5474356546,496384,-1.7904049729,1.92306926915,0.0938386294837
364,2015-12-31,1.22972987781,14.6341458212,337564,-1.68335829551,-1.16819308424,0.0929537026578
63,2015-03-05,1.21985968219,14.7824939378,363730,-1.50021745287,-0.658899728624,0.0570885365325
142,2015-05-23,1.21651155193,15.0310292167,380843,-1.19339211889,-0.325813387775,0.012352352012
70,2015-03-12,1.20736502862,16.1189716229,458363,0.149710130151,1.18303094943,-0.0755108817133
121,2015-05-02,1.18184758976,14.8887826788,504378,-1.36900035321,2.07866397544,0.044385308798
42,2015-02-12,1.17745317277,16.0865495332,460529,0.109683947412,1.22518983532,-0.0200592985201
112,2015-04-23,1.17168618721,16.564789598,460452,0.70008772519,1.22369111223,0.0580187978401
65,2015-03-07,1.16790539328,14.7780362246,501040,-1.50572065281,2.01369335628,0.0698501555779
333,2015-11-30,1.16610753013,16.9088392999,344611,1.12482889331,-1.03103072557,0.0571694268176
319,2015-11-16,1.14823233475,16.8897663455,345125,1.1012826763,-1.02102626234,-0.0434825110346
85,2015-03-27,1.14723286128,16.0534521589,462386,0.0688241026948,1.26133436492,-0.058357144772
47,2015-02-17,1.13470194389,15.6495353776,391716,-0.429825030172,-0.114182009055,-0.0281710583972
120,2015-05-01,1.13293457068,16.5615624849,458462,0.69610374335,1.18495787912,0.0257057245651
212,2015-08-01,1.12758889075,15.3962229364,387052,-0.742547934982,-0.204961807671,0.0788969874312
44,2015-02-14,1.11477954376,14.7819642161,498158,-1.50087141244,1.95759829204,0.0699508482147
220,2015-08-09,1.10860454243,16.4877346662,315203,0.604960766617,-1.60342616247,0.0219059544946
344,2015-12-11,1.1083615929,17.3705870396,424571,1.69487232953,0.525305616059,-0.0386485008823
353,2015-12-20,1.10429309481,15.2469749914,382389,-0.926799646722,-0.295722142351,-0.0219702011204
6,2015-01-07,1.10008956016,14.3225327801,426859,-2.0680552923,0.569839102173,0.0700343727889
284,2015-10-12,1.09578140887,16.5090412282,326063,0.631264448848,-1.39204781492,0.0685385715681
205,2015-07-25,1.09463023423,15.3486974708,384406,-0.801219753733,-0.256463382958,0.0634788046934
