,taxi_date,km_score,total_amount_x,taxi_trip_count_x,holiday_x,weekend_x,total_amount_y,taxi_trip_count_y,holiday_y,weekend_y
213,2015-08-02,2.33733672217,12.1913203801,7051,0,0,-1.44525034174,-1.58619253034,-0.298842584326,-0.630377459427
72,2015-03-14,2.32255253019,12.1075326628,10639,0,1,-1.55502826938,0.62685886466,-0.298842584326,1.58200497029
142,2015-05-23,2.31295987484,12.0487297407,9872,0,1,-1.63207133902,0.153779037467,-0.298842584326,1.58200497029
219,2015-08-08,2.31032677339,12.6053983957,7480,0,1,-0.902728980203,-1.3215885592,-0.298842584326,1.58200497029
58,2015-02-28,2.30651129988,12.1974495363,10998,0,1,-1.43721997539,0.848287362655,-0.298842584326,1.58200497029
314,2015-11-11,2.30340438755,14.2530598893,9935,1,0,1.25602256682,0.192636963299,3.33707552497,-0.630377459427
134,2015-05-15,2.29826755428,14.4936718323,10970,0,1,1.57127021094,0.831017173396,-0.298842584326,1.58200497029
281,2015-10-09,2.29629603426,14.6258976164,9943,0,1,1.74451126634,0.197571303087,-0.298842584326,1.58200497029
331,2015-11-28,2.29314119259,12.1431466788,8822,0,1,-1.50836710005,-0.493853059732,-0.298842584326,1.58200497029
46,2015-02-16,2.29057502701,12.1219626726,11734,1,0,-1.53612219799,1.30224662317,3.33707552497,-0.630377459427
315,2015-11-12,2.27323654244,14.0150946239,10621,1,0,0.944242576282,0.615756600136,3.33707552497,-0.630377459427
192,2015-07-12,2.26888646611,12.1504440181,7297,0,0,-1.49880619047,-1.43446158186,-0.298842584326,-0.630377459427
133,2015-05-14,2.24020582172,14.7128043236,11657,0,0,1.85837566705,1.25475360271,-0.298842584326,-0.630377459427
275,2015-10-03,2.23569993092,12.2786800182,10985,0,1,-1.33079251489,0.840269060499,-0.298842584326,1.58200497029
31,2015-02-01,2.23366807759,11.8763260104,8239,0,0,-1.8579531848,-0.853443071796,-0.298842584326,-0.630377459427
350,2015-12-17,2.22125493753,14.8312310181,11129,0,0,2.01353727696,0.929087176686,-0.298842584326,-0.630377459427
64,2015-03-06,2.22042425862,14.3576256406,11123,0,1,1.39302369128,0.925386421845,-0.298842584326,1.58200497029
198,2015-07-18,2.20221820669,12.2568008668,8768,0,1,-1.35945838598,-0.527159853302,-0.298842584326,1.58200497029
183,2015-07-03,2.19804976504,12.1287463955,6589,1,1,-1.52723422408,-1.87115065311,3.33707552497,1.58200497029
112,2015-04-23,2.19377443371,14.1673811029,12658,0,0,1.14376697703,1.8721628687,-0.298842584326,-0.630377459427
302,2015-10-30,2.18918433418,14.4808579996,10338,0,1,1.55448164049,0.441204330129,-0.298842584326,1.58200497029
57,2015-02-27,2.18465134566,13.6358513268,12134,0,1,0.447361355646,1.54896361258,-0.298842584326,1.58200497029
36,2015-02-06,2.179665711,13.6860138935,12092,0,1,0.513083907726,1.52305832869,-0.298842584326,1.58200497029
206,2015-07-26,2.17386034498,12.3510962942,7124,0,0,-1.23591334919,-1.54116667977,-0.298842584326,-0.630377459427
170,2015-06-20,2.16312844118,12.2171848472,9424,0,1,-1.4113629452,-0.122543990671,-0.298842584326,1.58200497029
212,2015-08-01,2.1491581328,12.3455083179,8656,0,1,-1.2432346664,-0.596240610337,-0.298842584326,1.58200497029
336,2015-12-03,2.14347827149,14.6610334056,11525,0,0,1.79054586728,1.1733369962,-0.298842584326,-0.630377459427
65,2015-03-07,2.1433131624,12.4678573978,11206,0,1,-1.08293398175,0.976580197147,-0.298842584326,1.58200497029
283,2015-10-11,2.14036027252,14.2777857329,7682,1,0,1.28841814888,-1.19699647955,3.33707552497,-0.630377459427
79,2015-03-21,2.13728557776,12.2404895456,9948,0,1,-1.38082933499,0.200655265455,-0.298842584326,1.58200497029
148,2015-05-29,2.12408177243,14.3570678316,10644,0,1,1.39229285495,0.629942827027,-0.298842584326,1.58200497029
309,2015-11-06,2.12121286641,14.3525514133,10649,0,1,1.38637548347,0.633026789395,-0.298842584326,1.58200497029
