,bike_date,km_score,decision_function,bike_trip_count_x,tripduration_x,bike_trip_count_y,tripduration_y
267,2015-09-25,3.95702746856,-0.0119152285637,50842,17.6897250305,1.78946679254,1.04673642276
356,2015-12-23,1.69834862444,0.0998263473162,14621,13.0499965803,-0.923451744564,-0.464803284535
165,2015-06-15,1.52180929066,-0.0521790466084,24811,12.411551328,-0.160230411828,-0.672797213494
65,2015-03-07,1.46398571795,-0.0531573174044,5526,14.4540354687,-1.60465861613,-0.00739278018758
79,2015-03-21,1.45202726266,0.029504893921,9229,13.2504063279,-1.32730742917,-0.399513409383
257,2015-09-15,1.44420167286,0.0514844833067,48330,16.0455203807,1.60132037567,0.511084252227
281,2015-10-09,1.42995973735,0.0276829805981,36925,18.2389979689,0.747096695608,1.22567962286
136,2015-05-17,1.42401421677,0.0444100856922,30698,19.2524594436,0.280700303169,1.55584706204
55,2015-02-25,1.41513969134,0.0430700430354,10652,10.4550319189,-1.22072607917,-1.31019589033
248,2015-09-06,1.39836314853,0.107458987046,32925,20.4811845103,0.447500490412,1.95614349049
102,2015-04-13,1.36566419595,0.0105512256969,24710,13.5535410765,-0.167795216009,-0.300757584749
192,2015-07-12,1.36543210529,0.0507904806974,30741,18.3138479555,0.283920962375,1.25006439626
278,2015-10-06,1.29867721556,0.0417323625937,49262,15.96021274,1.67112629148,0.483292564072
173,2015-06-23,1.29110459309,0.110437172575,32001,13.3111465267,0.378293767011,-0.379725349955
20,2015-01-21,1.254631077,0.0340310211227,15054,10.063969709,-0.891020455352,-1.43759689332
272,2015-09-30,1.21958276944,0.0470434130421,39042,14.189693151,0.905657987207,-0.0935107316692
277,2015-10-05,1.21953513731,-0.0145757087727,44147,16.1894579473,1.28801764409,0.557976511034
336,2015-12-03,1.21595993418,0.0230611675225,33520,12.5154832936,0.492065425935,-0.638938056774
16,2015-01-17,1.2140951167,0.0400495530547,7385,10.6004062288,-1.46542127976,-1.26283556649
118,2015-04-29,1.21041944001,0.0526850383967,31238,14.3790255458,0.32114579087,-0.0318296579265
166,2015-06-16,1.20971456997,-0.0604039211381,31770,13.0323890463,0.360992086161,-0.47053950101
155,2015-06-05,1.19819651788,0.0472311579219,30981,13.1263032181,0.301896734687,-0.43994396049
139,2015-05-20,1.17090124378,0.0526022100357,33515,13.4953304491,0.491690930678,-0.319721555528
184,2015-07-04,1.1424123999,0.0364627421693,21503,20.9646095894,-0.407996473525,2.11363464766
261,2015-09-19,1.13958879319,-0.0260530641433,42604,21.5208900573,1.17244840793,2.29486077429
151,2015-06-01,1.1293012596,-0.0174238924695,15085,10.569638714,-0.888698584762,-1.27285906699
3,2015-01-04,1.11772300821,0.0525883087309,7767,10.9365263293,-1.43680984217,-1.15333371012
276,2015-10-04,1.11740082536,0.0988247664378,29823,18.0340006036,0.215163633282,1.15889518475
200,2015-07-20,1.11485187462,0.0828857002947,34560,14.2763020833,0.569960439286,-0.0652951061892
293,2015-10-21,1.10650243269,0.00960900157532,48651,15.3181640665,1.62536297114,0.274124705551
329,2015-11-26,1.09271073249,-0.0596234500966,13106,22.6747291317,-1.03692380728,2.67076069936
170,2015-06-20,1.08242000808,0.0616377787907,23326,16.0872845752,-0.271455503007,0.524690272259
351,2015-12-18,1.0777916584,0.113445328806,30304,13.2297056494,0.251190076957,-0.406257316445
214,2015-08-03,1.07102739842,0.0546122970543,38552,14.4928408383,0.868957452071,0.00524930818434
349,2015-12-16,1.06991263667,0.0276480716259,35214,12.5661100699,0.618944418835,-0.622444767683
218,2015-08-07,1.05917454758,0.0359732832122,40622,15.0105361627,1.02399848826,0.173905092114
233,2015-08-22,1.0585662681,0.0392844927851,33946,19.0709067342,0.523972421788,1.49670046928
345,2015-12-12,1.05301490954,0.0259023799236,31609,18.0227150495,0.348933338902,1.15521855513
143,2015-05-24,1.05218011898,0.0181661466655,24933,21.4212890547,-0.15109272757,2.26241256704
188,2015-07-08,1.05054492822,0.0485182964257,34722,13.8325845285,0.582094085596,-0.209850269296
30,2015-01-31,1.04709299838,0.0688042490151,5117,10.0805159273,-1.63529232811,-1.43220643434
301,2015-10-29,1.02883300996,0.103263658565,44926,15.2507456707,1.34636400505,0.252161010168
322,2015-11-19,1.01817366659,0.0486943854903,21603,14.3296764338,-0.400506568395,-0.0479067070641
224,2015-08-13,1.01600520589,0.00448708124725,41760,16.3572557471,1.10923360864,0.612642002762
23,2015-01-24,0.988530470555,-0.0021162909005,4773,10.0913471611,-1.66105760176,-1.42867781404
128,2015-05-09,0.985697359854,0.0901632569939,24100,17.7346473029,-0.213483637302,1.06137128754
271,2015-09-29,0.984770904493,0.00321036050734,48316,16.8425987251,1.60027178895,0.770757976719
163,2015-06-13,0.978614569927,0.0955729652407,29717,18.8061715516,0.207224333845,1.41045452952
89,2015-03-31,0.974013157332,0.00857173598906,14067,11.1517736547,-0.964945818984,-1.08321002022
258,2015-09-16,0.971747985977,0.0944838192394,50740,15.6481671265,1.7818270893,0.381633740635
186,2015-07-06,0.9663426542,0.0998553268407,34914,14.6918428138,0.596474703445,0.0700805565879
2,2015-01-03,0.958337657299,0.0026329142926,4419,10.5598551709,-1.68757186592,-1.27604636858
171,2015-06-21,0.952715173615,0.0560532216223,25679,17.7249503485,-0.0952180353005,1.058212195
60,2015-03-02,0.951175096103,0.112761567346,7246,10.8486061275,-1.47583224789,-1.1819765235
152,2015-06-02,0.936975132203,0.0607364840535,11816,10.8804163846,-1.13354358346,-1.17161331645
270,2015-09-28,0.924275305906,-0.107865922113,47585,17.4476830934,1.54552058245,0.967883532415
